track_id,x,y
64,808,383
69,340,553
70,1259,325
71,1212,338
72,1176,339
75,1115,356
19,1004,498
52,728,311
54,835,307
55,849,367
56,883,488
57,381,545
64,807,382
69,346,552
70,1261,328
71,1215,342
72,1180,337
75,1126,354
19,1011,497
52,723,309
54,834,306
55,847,370
56,885,496
57,384,545
64,805,381
69,351,551
70,1264,332
71,1222,331
72,1189,336
75,1131,351
19,1014,497
52,719,308
54,834,307
55,846,373
56,887,503
57,388,544
64,803,381
69,354,549
70,1266,335
71,1225,330
72,1193,334
75,1135,348
19,1034,495
52,714,307
54,832,306
55,844,377
56,889,510
57,398,540
64,801,380
69,357,550
70,1269,339
71,1228,331
72,1197,336
75,1139,346
19,1051,494
52,709,305
54,831,306
55,842,380
56,891,518
57,393,539
64,799,379
69,359,550
70,1271,343
71,1231,332
72,1201,337
75,1143,344
19,1064,492
52,705,305
54,831,306
55,841,383
56,893,525
57,403,537
64,797,378
69,362,550
70,1273,346
71,1234,333
72,1205,339
75,1148,342
19,1077,490
52,700,303
54,830,306
55,839,386
56,895,533
57,417,535
64,794,378
69,366,551
70,1276,350
71,1237,334
72,1209,340
75,1151,340
19,1104,482
52,696,302
54,829,306
55,837,390
56,897,540
57,422,534
64,792,377
69,369,551
70,1278,354
71,1241,335
72,1212,342
75,1156,338
19,1112,482
52,691,301
54,828,306
55,836,393
56,899,548
57,426,534
64,790,376
69,372,551
70,1280,357
71,1244,336
72,1216,343
75,1159,335
19,1120,482
52,686,299
54,827,305
55,834,396
56,901,555
57,431,533
64,789,376
69,374,552
70,1282,361
71,1247,338
72,1220,345
75,1164,334
19,1128,482
52,682,298
54,826,305
55,832,399
56,903,562
57,435,533
64,787,375
69,377,551
70,1285,365
71,1250,339
72,1224,346
75,1168,331
19,1137,482
52,677,297
55,831,403
56,905,570
57,439,532
64,785,374
69,380,552
70,1287,368
71,1253,340
72,1227,348
75,1172,329
19,1145,481
56,907,577
57,444,532
64,783,373
69,383,552
70,1289,372
71,1257,342
72,1231,349
75,1176,327
19,1153,481
56,909,585
57,449,531
64,781,373
69,386,552
70,1292,376
71,1260,343
72,1235,351
75,1180,325
19,1161,481
56,911,592
57,453,531
64,779,372
69,389,552
70,1294,379
71,1263,344
72,1239,353
75,1184,323
19,1170,481
56,913,599
57,457,531
64,777,371
69,392,553
70,1297,383
71,1266,346
72,1242,354
75,1188,321
19,1178,481
56,915,607
57,462,530
64,775,371
69,395,553
70,1299,387
71,1270,347
72,1246,356
75,1192,318
19,1186,480
57,466,530
69,398,553
70,1301,390
71,1273,348
72,1250,357
75,1196,317
19,1195,480
57,471,530
69,401,554
70,1304,394
71,1276,349
72,1254,359
75,1200,314
19,1202,480
57,475,529
69,404,553
70,1306,397
71,1279,350
72,1257,360
75,1204,312
19,1211,479
57,480,529
69,407,554
70,1308,401
71,1283,351
72,1261,362
75,1209,310
19,1219,480
57,484,528
69,410,554
70,1310,405
71,1286,353
72,1265,364
75,1212,308
19,1227,479
57,488,528
69,413,554
70,1313,409
71,1289,354
72,1269,365
75,1217,306
19,1236,479
57,493,527
69,416,555
70,1315,412
71,1292,355
72,1273,367
75,1220,304
19,1244,479
57,498,527
69,419,555
70,1317,416
71,1295,356
72,1276,368
75,1225,302
19,1252,478
57,502,526
69,422,555
70,1320,420
71,1299,358
72,1280,370
75,1229,300
82,71,629
19,1260,478
57,506,526
69,425,556
70,1322,423
71,1302,359
72,1284,372
75,1233,298
82,84,655
19,1269,478
57,511,525
69,427,555
70,1324,427
71,1305,360
72,1288,373
75,1237,295
82,90,670
19,1277,478
57,516,525
69,430,556
70,1327,430
71,1308,362
72,1291,375
75,1241,294
82,96,685
19,1285,478
57,520,524
69,433,556
70,1329,434
71,1311,363
72,1295,376
75,1245,291
82,102,699
19,1293,477
57,524,524
69,436,556
71,1315,364
72,1299,378
75,1249,289
82,108,714
86,121,634
19,1301,477
57,529,523
69,440,557
71,1318,365
72,1302,379
75,1253,287
82,114,729
86,121,620
19,1310,477
57,533,523
69,442,557
71,1321,366
72,1306,381
75,1257,285
82,120,744
86,141,606
19,1318,477
57,538,522
82,126,759
86,149,607
19,1326,477
57,542,522
82,132,774
86,153,613
19,1335,476
57,547,521
82,138,789
86,162,606
89,1086,612
19,1343,476
57,551,521
82,144,804
86,167,592
89,1082,610
19,1351,476
82,151,819
86,168,586
89,1075,632
91,1117,628
82,157,834
86,173,586
89,1077,644
91,1120,640
82,163,849
86,180,586
89,1083,647
91,1124,643
82,169,864
86,198,582
89,1081,650
91,1122,648
82,175,879
86,193,579
89,1075,646
91,1116,643
82,181,894
86,191,576
89,1066,638
91,1105,636
82,187,909
86,188,569
89,1065,631
91,1103,639
93,442,599
82,193,924
86,186,563
89,1054,632
91,1100,642
93,474,595
82,199,938
86,183,564
89,1038,636
91,1097,645
93,501,593
94,1001,639
82,205,953
86,185,559
89,1032,638
91,1094,648
93,537,591
94,994,643
82,211,968
86,187,553
89,1026,639
91,1092,651
93,549,587
94,986,647
82,217,983
86,190,548
89,1020,641
91,1089,654
93,540,582
94,978,650
82,223,998
86,192,543
89,1015,642
91,1086,657
93,503,570
94,971,654
82,229,1013
86,194,538
89,1009,644
91,1083,660
93,473,566
94,962,658
82,235,1028
86,197,532
89,1003,646
91,1081,663
93,441,567
94,954,662
82,241,1043
86,199,527
89,997,648
91,1078,666
93,404,567
94,947,665
82,247,1058
86,202,522
89,992,649
91,1075,669
93,317,564
94,938,669
82,253,1073
86,204,516
89,986,651
91,1072,672
93,251,563
94,930,673
82,259,1088
86,206,511
89,981,652
91,1070,675
93,201,563
94,923,677
99,703,359
82,265,1103
86,209,506
89,975,654
91,1067,678
93,174,562
94,915,680
99,672,366
100,937,641
86,211,500
89,969,656
91,1064,681
93,170,556
94,907,684
99,663,362
100,905,624
86,213,495
89,964,658
91,1061,684
93,174,553
94,899,687
99,646,360
100,881,608
86,216,490
89,958,660
91,1059,687
93,182,545
94,891,691
99,645,359
100,859,595
86,218,484
89,952,661
91,1056,690
93,195,538
94,883,695
99,651,360
100,827,582
86,220,479
89,946,663
91,1053,693
93,210,537
94,875,699
99,665,360
100,795,575
104,1206,585
86,223,473
89,940,664
91,1050,696
93,220,536
94,867,702
99,680,360
100,804,572
104,1198,575
86,225,468
89,935,666
91,1047,699
93,229,536
94,859,706
99,675,359
100,773,562
104,1190,564
86,227,463
89,929,668
91,1045,702
93,230,538
94,851,710
99,671,358
100,742,552
104,1182,554
109,115,607
86,229,458
89,923,670
91,1042,705
93,226,535
94,843,714
99,656,358
100,711,541
104,1175,543
109,107,610
86,232,453
89,918,671
91,1039,708
93,205,518
94,835,717
99,639,358
100,681,531
104,1167,533
109,99,613
110,1083,503
86,234,447
89,912,673
91,1036,711
93,197,497
94,827,721
99,640,358
100,650,521
104,1159,522
109,91,616
110,1041,495
86,236,442
89,907,675
